Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Shanghai,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,9.8,41,Good,10.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,12.7,52,Moderate,16.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,11.0,46,Good,9.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,10.5,44,Good,10.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,10.3,43,Good,10.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,11.4,48,Good,13.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,14.1,55,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,16.1,59,Moderate,18.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,18.0,63,Moderate,20.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,16.5,60,Moderate,15.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,17.7,63,Moderate,19.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,12.3,51,Moderate,7.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,13.1,53,Moderate,14.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,12.5,52,Moderate,12.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,13.2,53,Moderate,14.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,13.1,53,Moderate,13.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,11.5,48,Good,10.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,13.2,53,Moderate,15.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,14.1,55,Moderate,15.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,16.0,59,Moderate,18.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,15.0,57,Moderate,14.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,16.5,60,Moderate,18.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,15.7,59,Moderate,15.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,14.9,57,Moderate,14.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,15.4,58,Moderate,16.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-02 02:00 AM,2020,01,02,02,13.9,55,Moderate,12.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-02 03:00 AM,2020,01,02,03,13.0,53,Moderate,12.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-02 04:00 AM,2020,01,02,04,12.5,52,Moderate,12.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-02 05:00 AM,2020,01,02,05,13.0,53,Moderate,13.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2020-01-02 06:00 AM,2020,01,02,06,12.6,52,Moderate,12.0,UG/M3,1 Hr,Valid
